[2024-04-28 18:36:33.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:33.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 185ns
[2024-04-28 18:36:33.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:33.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:33.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 198ns
[2024-04-28 18:36:33.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 180ns
[2024-04-28 18:36:33.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 249ns
[2024-04-28 18:36:33.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 197ns
[2024-04-28 18:36:33.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 149ns
[2024-04-28 18:36:33.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:33.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 376ns
[2024-04-28 18:36:33.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 266ns
[2024-04-28 18:36:33.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 225ns
[2024-04-28 18:36:33.647] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 279ns
[2024-04-28 18:36:33.647] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 167ns
[2024-04-28 18:36:33.647] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 307ns
[2024-04-28 18:36:33.648] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 139ns
[2024-04-28 18:36:33.648] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 292ns
[2024-04-28 18:36:33.648] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 110ns
[2024-04-28 18:36:33.649] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 239ns
[2024-04-28 18:36:33.649] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 140ns
[2024-04-28 18:36:33.649] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 291ns
[2024-04-28 18:36:33.649] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 149ns
[2024-04-28 18:36:34.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:34.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:34.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:34.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:34.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:34.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 213ns
[2024-04-28 18:36:34.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:34.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:34.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 273ns
[2024-04-28 18:36:34.645] [server] [debug] [0.0.0.0:0] payload size 22 bytes
[2024-04-28 18:36:34.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 742ns
[2024-04-28 18:36:34.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 129ns
[2024-04-28 18:36:34.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 387ns
[2024-04-28 18:36:34.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 500ns
[2024-04-28 18:36:34.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 194ns
[2024-04-28 18:36:34.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 536ns
[2024-04-28 18:36:34.646] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 533ns
[2024-04-28 18:36:34.647] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 320ns
